Time,Displacement,Force,Tensile strain (Displacement),Tensile stress
(s),(mm),(N),(%),(MPa)
"0.0000","0.0000","-0.0472","0.0000","-0.0007"
"0.0200","0.0010","0.3676","0.0015","0.0054"
"0.0400","0.0151","1.0256","0.0221","0.0151"
"0.0600","0.0592","1.4430","0.0865","0.0213"
"0.0800","0.1403","1.5626","0.2051","0.0230"
"0.1000","0.2585","1.8802","0.3779","0.0277"
"0.1200","0.4114","2.4429","0.6015","0.0360"
"0.1400","0.5952","2.6417","0.8702","0.0389"
"0.1600","0.7948","2.7003","1.1619","0.0398"
"0.1800","0.9940","3.5673","1.4532","0.0525"
"0.2000","1.1912","4.6699","1.7416","0.0688"
"0.2200","1.3901","5.3797","2.0323","0.0792"
"0.2400","1.5916","5.9482","2.3269","0.0876"
"0.2600","1.7942","6.8019","2.6230","0.1002"
"0.2800","1.9961","7.7205","2.9183","0.1137"
"0.3000","2.1969","8.4615","3.2119","0.1246"
"0.3200","2.3970","9.3912","3.5043","0.1383"
"0.3400","2.5968","10.3080","3.7965","0.1518"
"0.3600","2.7967","11.1506","4.0888","0.1642"
"0.3800","2.9968","12.0178","4.3813","0.1770"
"0.4000","3.1970","13.0267","4.6739","0.1919"
"0.4200","3.3971","13.7792","4.9665","0.2029"
"0.4400","3.5971","14.4954","5.2590","0.2135"
"0.4600","3.7972","15.3912","5.5514","0.2267"
"0.4800","3.9972","16.3314","5.8438","0.2405"
"0.5000","4.1972","17.0536","6.1362","0.2512"
"0.5200","4.3972","17.8322","6.4286","0.2626"
"0.5400","4.5972","18.8261","6.7211","0.2773"
"0.5600","4.7972","19.5651","7.0135","0.2881"
"0.5800","4.9972","20.3052","7.3058","0.2990"
"0.6000","5.1971","21.1851","7.5982","0.3120"
"0.6200","5.3971","21.9166","7.8905","0.3228"
"0.6400","5.5972","22.6696","8.1830","0.3339"
"0.6600","5.7972","23.5328","8.4754","0.3466"
"0.6800","5.9971","24.3850","8.7678","0.3591"
"0.7000","6.1971","25.0749","9.0602","0.3693"
"0.7200","6.3972","25.9684","9.3526","0.3825"
"0.7400","6.5971","26.8164","9.6449","0.3949"
"0.7600","6.7971","27.5693","9.9373","0.4060"
"0.7800","6.9971","28.3223","10.2296","0.4171"
"0.8000","7.1971","29.1381","10.5221","0.4291"
"0.8200","7.3971","29.9135","10.8145","0.4406"
"0.8400","7.5971","30.5877","11.1069","0.4505"
"0.8600","7.7971","31.3985","11.3993","0.4624"
"0.8800","7.9971","32.3210","11.6917","0.4760"
"0.9000","8.1971","32.9596","11.9841","0.4854"
"0.9200","8.3971","33.6841","12.2765","0.4961"
"0.9400","8.5971","34.4940","12.5689","0.5080"
"0.9600","8.7972","35.2432","12.8613","0.5190"
"0.9800","8.9972","35.9211","13.1538","0.5290"
"1.0000","9.1972","36.8298","13.4462","0.5424"
"1.0200","9.3972","37.5256","13.7386","0.5527"
"1.0400","9.5972","38.1759","14.0310","0.5622"
"1.0600","9.7972","38.9656","14.3233","0.5739"
"1.0800","9.9971","39.7753","14.6157","0.5858"
"1.1000","10.1971","40.6224","14.9081","0.5983"
"1.1200","10.3971","41.3120","15.2005","0.6084"
"1.1400","10.5971","41.9609","15.4929","0.6180"
"1.1600","10.7972","42.5963","15.7853","0.6273"
"1.1800","10.9972","43.3540","16.0777","0.6385"
"1.2000","11.1972","44.0110","16.3701","0.6482"
"1.2200","11.3971","44.7511","16.6625","0.6591"
"1.2400","11.5971","45.5240","16.9548","0.6705"
"1.2600","11.7971","46.1772","17.2472","0.6801"
"1.2800","11.9971","46.8393","17.5396","0.6898"
"1.3000","12.1971","47.5283","17.8320","0.7000"
"1.3200","12.3971","48.1851","18.1244","0.7096"
"1.3400","12.5971","48.9724","18.4168","0.7212"
"1.3600","12.7971","49.7546","18.7092","0.7328"
"1.3800","12.9971","50.4037","19.0016","0.7423"
"1.4000","13.1971","50.9308","19.2940","0.7501"
"1.4200","13.3971","51.5753","19.5864","0.7596"
"1.4400","13.5971","52.2512","19.8789","0.7695"
"1.4600","13.7972","52.8702","20.1713","0.7786"
"1.4800","13.9972","53.5861","20.4637","0.7892"
"1.5000","14.1972","54.3010","20.7562","0.7997"
"1.5200","14.3972","54.9096","21.0485","0.8087"
"1.5400","14.5972","55.7209","21.3409","0.8206"
"1.5600","14.7971","56.3479","21.6332","0.8299"
"1.5800","14.9971","56.9322","21.9256","0.8385"
"1.6000","15.1972","57.4984","22.2181","0.8468"
"1.6200","15.3972","58.2618","22.5105","0.8581"
"1.6400","15.5972","58.7986","22.8029","0.8660"
"1.6600","15.7972","59.3338","23.0953","0.8738"
"1.6800","15.9972","59.9896","23.3877","0.8835"
"1.7000","16.1972","60.6889","23.6801","0.8938"
"1.7200","16.3971","61.3097","23.9724","0.9029"
"1.7400","16.5971","61.9570","24.2647","0.9125"
"1.7600","16.7971","62.5773","24.5572","0.9216"
"1.7800","16.9971","63.1587","24.8496","0.9302"
"1.8000","17.1971","63.8376","25.1420","0.9402"
"1.8200","17.3971","64.5001","25.4343","0.9499"
"1.8400","17.5971","65.0597","25.7267","0.9582"
"1.8600","17.7971","65.7752","26.0191","0.9687"
"1.8800","17.9971","66.3318","26.3115","0.9769"
"1.9000","18.1971","66.8071","26.6039","0.9839"
"1.9200","18.3971","67.4889","26.8964","0.9939"
"1.9400","18.5972","68.0465","27.1888","1.0022"
"1.9600","18.7972","68.5748","27.4813","1.0099"
"1.9800","18.9972","69.1508","27.7737","1.0184"
"2.0000","19.1972","69.7369","28.0661","1.0271"
"2.0200","19.3972","70.3196","28.3585","1.0356"
"2.0400","19.5971","70.9190","28.6508","1.0445"
"2.0600","19.7971","71.5111","28.9432","1.0532"
"2.0800","19.9971","72.0749","29.2356","1.0615"
"2.1000","20.1971","72.6791","29.5280","1.0704"
"2.1200","20.3971","73.2214","29.8204","1.0784"
"2.1400","20.5972","73.9323","30.1128","1.0888"
"2.1600","20.7972","74.5031","30.4052","1.0972"
"2.1800","20.9972","75.0277","30.6976","1.1050"
"2.2000","21.1971","75.6157","30.9899","1.1136"
"2.2200","21.3971","76.0281","31.2823","1.1197"
"2.2400","21.5971","76.5013","31.5747","1.1267"
"2.2600","21.7971","77.1469","31.8671","1.1362"
"2.2800","21.9971","77.6828","32.1595","1.1441"
"2.3000","22.1971","78.1995","32.4519","1.1517"
"2.3200","22.3971","78.6875","32.7444","1.1589"
"2.3400","22.5971","79.1844","33.0367","1.1662"
"2.3600","22.7971","79.7223","33.3291","1.1741"
"2.3800","22.9970","80.3550","33.6214","1.1834"
"2.4000","23.1971","81.0208","33.9138","1.1932"
"2.4200","23.3971","81.5140","34.2063","1.2005"
"2.4400","23.5972","82.0333","34.4988","1.2081"
"2.4600","23.7972","82.5328","34.7912","1.2155"
"2.4800","23.9972","82.9446","35.0837","1.2216"
"2.5000","24.1972","83.4899","35.3761","1.2296"
"2.5200","24.3972","84.0991","35.6684","1.2386"
"2.5400","24.5971","84.7309","35.9607","1.2479"
"2.5600","24.7971","85.2155","36.2531","1.2550"
"2.5800","24.9972","85.6031","36.5456","1.2607"
"2.6000","25.1972","86.1640","36.8380","1.2690"
"2.6200","25.3972","86.6917","37.1304","1.2768"
"2.6400","25.5972","87.1560","37.4228","1.2836"
"2.6600","25.7972","87.7017","37.7151","1.2916"
"2.6800","25.9971","88.0967","38.0075","1.2974"
"2.7000","26.1971","88.5482","38.2999","1.3041"
