Results Table 1
,Specimen label,Length,Thickness,Width,Tensile stress at Tensile strength,Tensile strain (Displacement) at Tensile strength
,,(mm),(mm),(mm),(MPa),(%)
1,"Retest Old","15.00","1.98","180.00","2.82","166.72"
2,"","100.00","1.00","25.00","0.01","0.26"
3,"redo","15.00","1.98","15.00","22.67","100.06"
4,"again","15.00","1.98","180.00","1.82","100.05"
5,"again again","15.00","1.98","180.00","1.73","66.72"
6,"plz","15.00","1.98","180.00","0.97","33.39"
7,"Bubbles","15.00","1.98","180.00","0.38","33.39"
8,"Bubbles10","15.00","1.98","180.00","1.13","66.73"
9,"Realdeal","15.00","1.98","180.00","2.08","100.05"

Results Table 2

