Time,Displacement,Force,Tensile strain (Displacement),Tensile stress
(s),(mm),(N),(%),(MPa)
"0.0000","0.0000","0.0116","0.0000","0.0000"
"0.0200","0.0010","0.1983","0.0066","0.0005"
"0.0400","0.0150","1.8584","0.1003","0.0051"
"0.0600","0.0590","6.0009","0.3933","0.0166"
"0.0800","0.1400","12.6071","0.9332","0.0348"
"0.1000","0.2580","21.2193","1.7197","0.0586"
"0.1200","0.4107","27.9019","2.7380","0.0771"
"0.1400","0.5944","29.8086","3.9624","0.0824"
"0.1600","0.7938","29.4614","5.2921","0.0814"
"0.1800","0.9930","28.9856","6.6200","0.0801"
"0.2000","1.1902","28.7059","7.9349","0.0793"
"0.2200","1.3891","28.6930","9.2605","0.0793"
"0.2400","1.5906","28.6357","10.6038","0.0791"
"0.2600","1.7932","29.1979","11.9545","0.0807"
"0.2800","1.9952","33.2380","13.3014","0.0919"
"0.3000","2.1961","40.5342","14.6408","0.1120"
"0.3200","2.3962","50.1722","15.9746","0.1387"
"0.3400","2.5960","60.6870","17.3067","0.1677"
"0.3600","2.7959","70.9616","18.6394","0.1961"
"0.3800","2.9959","82.2573","19.9729","0.2274"
"0.4000","3.1961","93.0138","21.3070","0.2571"
"0.4200","3.3961","101.6149","22.6409","0.2809"
"0.4400","3.5962","109.4621","23.9745","0.3025"
"0.4600","3.7962","117.2902","25.3080","0.3242"
"0.4800","3.9962","125.0947","26.6415","0.3458"
"0.5000","4.1963","132.6301","27.9750","0.3666"
"0.5200","4.3962","140.0896","29.3083","0.3872"
"0.5400","4.5962","147.4795","30.6414","0.4076"
"0.5600","4.7962","154.9250","31.9746","0.4282"
"0.5800","4.9962","162.1264","33.3079","0.4481"
"0.6000","5.1962","169.2714","34.6412","0.4679"
"0.6200","5.3962","176.7106","35.9746","0.4884"
"0.6400","5.5962","185.1320","37.3080","0.5117"
"0.6600","5.7962","193.5464","38.6415","0.5350"
"0.6800","5.9962","201.6024","39.9748","0.5572"
"0.7000","6.1962","209.4847","41.3080","0.5790"
"0.7200","6.3962","217.3533","42.6413","0.6008"
"0.7400","6.5962","225.3849","43.9747","0.6230"
"0.7600","6.7962","233.3995","45.3081","0.6451"
"0.7800","6.9962","241.4895","46.6415","0.6675"
"0.8000","7.1962","249.1134","47.9749","0.6885"
"0.8200","7.3963","256.1992","49.3084","0.7081"
"0.8400","7.5963","263.1935","50.6418","0.7275"
"0.8600","7.7962","270.1545","51.9750","0.7467"
"0.8800","7.9962","277.1364","53.3082","0.7660"
"0.9000","8.1962","283.9925","54.6415","0.7849"
"0.9200","8.3962","290.5557","55.9749","0.8031"
"0.9400","8.5963","296.8768","57.3084","0.8206"
"0.9600","8.7962","303.0905","58.6416","0.8377"
"0.9800","8.9962","309.2351","59.9749","0.8547"
"1.0000","9.1962","315.1374","61.3083","0.8710"
"1.0200","9.3963","320.8222","62.6417","0.8867"
"1.0400","9.5962","326.1301","63.9750","0.9014"
"1.0600","9.7962","331.0900","65.3082","0.9151"
"1.0800","9.9962","335.6893","66.6414","0.9278"
"1.1000","10.1962","340.4960","67.9747","0.9411"
"1.1200","10.3962","345.5070","69.3081","0.9550"
"1.1400","10.5962","350.6942","70.6413","0.9693"
"1.1600","10.7962","356.0265","71.9746","0.9840"
"1.1800","10.9962","361.2455","73.3079","0.9985"
"1.2000","11.1962","366.3204","74.6413","1.0125"
"1.2200","11.3962","371.3508","75.9747","1.0264"
"1.2400","11.5962","376.4981","77.3080","1.0406"
"1.2600","11.7962","381.4072","78.6415","1.0542"
"1.2800","11.9963","386.0500","79.9751","1.0670"
"1.3000","12.1963","390.3842","81.3086","1.0790"
"1.3200","12.3963","394.6710","82.6419","1.0909"
"1.3400","12.5962","399.4991","83.9750","1.1042"
"1.3600","12.7962","404.5135","85.3082","1.1181"
"1.3800","12.9962","409.4578","86.6415","1.1317"
