Time,Displacement,Force,Tensile strain (Displacement),Tensile stress
(s),(mm),(N),(%),(MPa)
"0.0000","0.0000","0.0266","0.0000","0.0011"
"0.0200","0.0010","0.0428","0.0010","0.0017"
"0.0400","0.0153","0.1302","0.0153","0.0052"
"0.0600","0.0600","0.1879","0.0600","0.0075"
"0.0800","0.1422","0.2108","0.1422","0.0084"
"0.1000","0.2619","0.2167","0.2619","0.0087"
"0.1200","0.4165","0.1955","0.4165","0.0078"
"0.1400","0.6014","-0.0338","0.6014","-0.0014"
"0.1600","0.8008","-0.1407","0.8008","-0.0056"
"0.1800","0.9996","-0.0791","0.9996","-0.0032"
"0.2000","1.1971","0.0012","1.1971","0.0000"
"0.2200","1.3964","-0.0324","1.3964","-0.0013"
"0.2400","1.5982","-0.0996","1.5982","-0.0040"
"0.2600","1.8008","-0.0891","1.8008","-0.0036"
"0.2800","2.0028","-0.0915","2.0028","-0.0037"
"0.3000","2.2036","-0.0668","2.2036","-0.0027"
"0.3200","2.4037","-0.0851","2.4037","-0.0034"
"0.3400","2.6035","-0.0388","2.6035","-0.0016"
"0.3600","2.8034","-0.0675","2.8034","-0.0027"
"0.3800","3.0035","-0.1111","3.0035","-0.0044"
"0.4000","3.2036","-0.0800","3.2036","-0.0032"
"0.4200","3.4037","0.0726","3.4037","0.0029"
"0.4400","3.6037","0.0794","3.6037","0.0032"
"0.4600","3.8037","0.0429","3.8037","0.0017"
"0.4800","4.0037","0.0092","4.0037","0.0004"
"0.5000","4.2037","-0.1335","4.2037","-0.0053"
"0.5200","4.4038","-0.1210","4.4038","-0.0048"
"0.5400","4.6037","-0.0885","4.6037","-0.0035"
"0.5600","4.8037","-0.0641","4.8037","-0.0026"
"0.5800","5.0037","-0.0733","5.0037","-0.0029"
"0.6000","5.2037","0.0410","5.2037","0.0016"
"0.6200","5.4037","0.0847","5.4037","0.0034"
"0.6400","5.6037","-0.0089","5.6037","-0.0004"
"0.6600","5.8037","-0.0904","5.8037","-0.0036"
"0.6800","6.0037","-0.0914","6.0037","-0.0037"
"0.7000","6.2037","-0.0059","6.2037","-0.0002"
"0.7200","6.4037","-0.0155","6.4037","-0.0006"
"0.7400","6.6037","-0.0016","6.6037","-0.0001"
"0.7600","6.8037","0.0395","6.8037","0.0016"
"0.7800","7.0037","0.0301","7.0037","0.0012"
"0.8000","7.2037","0.0270","7.2037","0.0011"
"0.8200","7.4037","0.0056","7.4037","0.0002"
"0.8400","7.6038","-0.0266","7.6038","-0.0011"
"0.8600","7.8038","-0.0379","7.8038","-0.0015"
"0.8800","8.0038","-0.1385","8.0038","-0.0055"
"0.9000","8.2037","-0.0682","8.2037","-0.0027"
"0.9200","8.4037","-0.0759","8.4037","-0.0030"
"0.9400","8.6037","-0.0505","8.6037","-0.0020"
"0.9600","8.8037","-0.0479","8.8037","-0.0019"
"0.9800","9.0037","-0.0226","9.0037","-0.0009"
"1.0000","9.2038","-0.0726","9.2038","-0.0029"
"1.0200","9.4038","-0.0413","9.4038","-0.0017"
"1.0400","9.6038","-0.0104","9.6038","-0.0004"
"1.0600","9.8038","0.0215","9.8038","0.0009"
"1.0800","10.0037","0.0052","10.0037","0.0002"
"1.1000","10.2037","0.0348","10.2037","0.0014"
"1.1200","10.4037","-0.0207","10.4037","-0.0008"
"1.1400","10.6037","-0.0409","10.6037","-0.0016"
"1.1600","10.8037","0.0373","10.8037","0.0015"
"1.1800","11.0037","0.0164","11.0037","0.0007"
"1.2000","11.2037","-0.0291","11.2037","-0.0012"
"1.2200","11.4037","-0.0234","11.4037","-0.0009"
"1.2400","11.6037","-0.0977","11.6037","-0.0039"
"1.2600","11.8037","-0.1509","11.8037","-0.0060"
"1.2800","12.0037","-0.1166","12.0037","-0.0047"
"1.3000","12.2037","-0.0599","12.2037","-0.0024"
"1.3200","12.4038","-0.0568","12.4038","-0.0023"
"1.3400","12.6038","-0.0181","12.6038","-0.0007"
"1.3600","12.8038","0.0311","12.8038","0.0012"
"1.3800","13.0038","0.0829","13.0038","0.0033"
"1.4000","13.2037","0.0077","13.2037","0.0003"
"1.4200","13.4037","-0.0348","13.4037","-0.0014"
"1.4400","13.6037","-0.0005","13.6037","0.0000"
"1.4600","13.8037","-0.0871","13.8037","-0.0035"
"1.4800","14.0038","-0.0985","14.0038","-0.0039"
"1.5000","14.2038","0.0086","14.2038","0.0003"
"1.5200","14.4037","-0.0582","14.4037","-0.0023"
"1.5400","14.6037","-0.0930","14.6037","-0.0037"
"1.5600","14.8037","-0.0486","14.8037","-0.0019"
"1.5800","15.0037","-0.0494","15.0037","-0.0020"
