Force,Compressive stress,Compressive strain (Displacement)
(N),(MPa),(%)
"-0.0595","0.0000","0.0000"
"-0.0602","0.0000","0.0000"
"-0.0603","0.0000","704.4741"
"-0.0601","0.0000","6651.7265"
"-0.0598","0.0000","32078.7079"
"-0.0593","0.0000","107598.2666"
"-0.0582","0.0000","286110.3027"
"-0.0557","0.0000","646990.9668"
"-0.0515","0.0000","1297550.8789"
"-0.0454","0.0000","2372152.1484"
"-0.0374","0.0000","4030244.5312"
"-0.0280","0.0000","6453985.5469"
"-0.0177","0.0000","9845464.0625"
"-0.0069","0.0000","14423612.5000"
"0.0037","0.0000","20421376.5625"
"0.0134","0.0000","28083031.2500"
"0.0214","0.0000","37661853.1250"
"0.0281","0.0000","49418428.1250"
"0.0344","0.0000","63619143.7500"
"0.0415","0.0000","80534787.5000"
"0.0496","0.0000","100439356.2500"
"0.0585","0.0000","123608475.0000"
"0.0679","0.0000","150318087.5000"
"0.0777","0.0000","180843350.0000"
"0.0880","0.0000","215457475.0000"
"0.0983","0.0000","254431375.0000"
"0.1086","0.0000","298032675.0000"
"0.1190","0.0000","346524050.0000"
"0.1297","0.0000","400161975.0000"
"0.1400","0.0000","459197250.0000"
"0.1487","0.0000","523874600.0000"
"0.1551","0.0000","594432600.0000"
"0.1595","0.0000","671102250.0000"
"0.1630","0.0000","754106800.0000"
"0.1665","0.0000","843662400.0000"
"0.1709","0.0000","939977800.0000"
"0.1763","0.0000","1043253300.0000"
"0.1826","0.0000","1153682000.0000"
"0.1894","0.0000","1271448200.0000"
"0.1965","0.0000","1396728000.0000"
"0.2040","0.0000","1529689000.0000"
"0.2119","0.0000","1670491900.0000"
"0.2201","0.0000","1819289000.0000"
"0.2279","0.0000","1976224000.0000"
"0.2347","0.0000","2141432800.0000"
"0.2399","0.0000","2315043600.0000"
"0.2433","0.0000","2497175200.0000"
"0.2443","0.0000","2687940600.0000"
"0.2428","0.0000","2887444000.0000"
"0.2391","0.0000","3095782400.0000"
"0.2340","0.0000","3313046400.0000"
"0.2287","0.0000","3539318800.0000"
"0.2244","0.0000","3774676000.0000"
"0.2219","0.0000","4019187200.0000"
"0.2211","0.0000","4272914800.0000"
"0.2221","0.0000","4535916800.0000"
"0.2242","0.0000","4808245600.0000"
"0.2269","0.0000","5089948000.0000"
"0.2295","0.0000","5381065600.0000"
"0.2319","0.0000","5681634800.0000"
"0.2339","0.0000","5991689200.0000"
"0.2350","0.0000","6311256800.0000"
"0.2346","0.0000","6640359200.0000"
"0.2327","0.0000","6979016800.0000"
"0.2297","0.0000","7327245600.0000"
"0.2264","0.0000","7685054400.0000"
"0.2236","0.0000","8052453600.0000"
"0.2217","0.0000","8429448800.0000"
"0.2212","0.0000","8816043200.0000"
"0.2221","0.0000","9212238400.0000"
"0.2243","0.0000","9618034400.0000"
"0.2276","0.0000","10033425600.0000"
"0.2315","0.0000","10458402400.0000"
"0.2359","0.0000","10892961600.0000"
"0.2404","0.0000","11337088000.0000"
"0.2452","0.0000","11790772000.0000"
"0.2501","0.0000","12253999200.0000"
"0.2547","0.0000","12726756000.0000"
"0.2581","0.0000","13209027200.0000"
"0.2595","0.0000","13700793600.0000"
"0.2591","0.0000","14202043200.0000"
"0.2577","0.0000","14712753600.0000"
"0.2567","0.0000","15232904000.0000"
"0.2571","0.0000","15762475200.0000"
"0.2588","0.0000","16301444800.0000"
"0.2612","0.0000","16849788800.0000"
"0.2636","0.0000","17407489600.0000"
"0.2657","0.0000","17974518400.0000"
"0.2674","0.0000","18550852800.0000"
"0.2689","0.0000","19136462400.0000"
"0.2697","0.0000","19731324800.0000"
"0.2692","0.0000","20335409600.0000"
"0.2674","0.0000","20948691200.0000"
"0.2646","0.0000","21571139200.0000"
"0.2611","0.0000","22202724800.0000"
"0.2573","0.0000","22843428800.0000"
"0.2538","0.0000","23493216000.0000"
"0.2509","0.0000","24152062400.0000"
"0.2491","0.0000","24819936000.0000"
"0.2484","0.0000","25496817600.0000"
"0.2489","0.0000","26182676800.0000"
"0.2503","0.0000","26877491200.0000"
"0.2521","0.0000","27581228800.0000"
"0.2539","0.0000","28293865600.0000"
"0.2554","0.0000","29015379200.0000"
"0.2568","0.0000","29745744000.0000"
"0.2587","0.0000","30484928000.0000"
"0.2614","0.0000","31232905600.0000"
"0.2648","0.0000","31989657600.0000"
"0.2686","0.0000","32755158400.0000"
"0.2726","0.0000","33529372800.0000"
"0.2765","0.0000","34312275200.0000"
"0.2798","0.0000","35103843200.0000"
"0.2829","0.0000","35904038400.0000"
"0.2864","0.0000","36712838400.0000"
"0.2908","0.0000","37530204800.0000"
"0.2963","0.0000","38356105600.0000"
"0.3027","0.0000","39190499200.0000"
"0.3098","0.0000","40033344000.0000"
"0.3172","0.0000","40884595200.0000"
"0.3243","0.0000","41744188800.0000"
"0.3308","0.0000","42612067200.0000"
"0.3360","0.0000","43488150400.0000"
"0.3395","0.0000","44372329600.0000"
"0.3409","0.0000","45264476800.0000"
"0.3401","0.0000","46164432000.0000"
"0.3368","0.0000","47072000000.0000"
"0.3310","0.0000","47986966400.0000"
"0.3234","0.0000","48909081600.0000"
"0.3149","0.0000","49838092800.0000"
"0.3061","0.0000","50773705600.0000"
"0.2968","0.0000","51715612800.0000"
"0.2869","0.0000","52663513600.0000"
"0.2769","0.0000","53617075200.0000"
"0.2673","0.0000","54575974400.0000"
"0.2584","0.0000","55539878400.0000"
"0.2499","0.0000","56508454400.0000"
"0.2415","0.0000","57481356800.0000"
"0.2327","0.0000","58458259200.0000"
"0.2239","0.0000","59438835200.0000"
"0.2153","0.0000","60422752000.0000"
"0.2067","0.0000","61409702400.0000"
"0.1982","0.0000","62399379200.0000"
"0.1902","0.0000","63391462400.0000"
"0.1832","0.0000","64385689600.0000"
"0.1775","0.0000","65381772800.0000"
"0.1731","0.0000","66379443200.0000"
"0.1701","0.0000","67378457600.0000"
"0.1681","0.0000","68378572800.0000"
"0.1669","0.0000","69379552000.0000"
"0.1657","0.0000","70381216000.0000"
"0.1643","0.0000","71383340800.0000"
"0.1621","0.0000","72385760000.0000"
"0.1592","0.0000","73388326400.0000"
"0.1551","0.0000","74390860800.0000"
"0.1495","0.0000","75393241600.0000"
"0.1423","0.0000","76395353600.0000"
"0.1344","0.0000","77397075200.0000"
"0.1262","0.0000","78398310400.0000"
"0.1176","0.0000","79398988800.0000"
"0.1092","0.0000","80399052800.0000"
"0.1017","0.0000","81398400000.0000"
"0.0958","0.0000","82397011200.0000"
"0.0918","0.0000","83394848000.0000"
"0.0901","0.0000","84391865600.0000"
"0.0905","0.0000","85388044800.0000"
"0.0926","0.0000","86383392000.0000"
"0.0959","0.0000","87377888000.0000"
"0.1001","0.0000","88371539200.0000"
"0.1049","0.0000","89364358400.0000"
"0.1102","0.0000","90356352000.0000"
"0.1164","0.0000","91347558400.0000"
"0.1233","0.0000","92338003200.0000"
"0.1304","0.0000","93327724800.0000"
"0.1369","0.0000","94316748800.0000"
"0.1431","0.0000","95305132800.0000"
"0.1496","0.0000","96292928000.0000"
"0.1571","0.0000","97280185600.0000"
"0.1659","0.0000","98266956800.0000"
"0.1762","0.0000","99253305600.0000"
"0.1876","0.0000","100239302400.0000"
"0.2001","0.0000","101224972800.0000"
"0.2131","0.0000","102210406400.0000"
"0.2260","0.0000","103195680000.0000"
"0.2380","0.0000","104180812800.0000"
"0.2489","0.0000","105165913600.0000"
"0.2586","0.0000","106151014400.0000"
"0.2672","0.0000","107136179200.0000"
"0.2749","0.0000","108121472000.0000"
"0.2815","0.0000","109106931200.0000"
"0.2874","0.0000","110092633600.0000"
"0.2933","0.0000","111078617600.0000"
"0.3000","0.0000","112064934400.0000"
"0.3078","0.0000","113051622400.0000"
"0.3164","0.0000","114038732800.0000"
"0.3252","0.0000","115026304000.0000"
"0.3336","0.0000","116014361600.0000"
"0.3413","0.0000","117002969600.0000"
"0.3482","0.0000","117992128000.0000"
"0.3546","0.0000","118981926400.0000"
"0.3611","0.0000","119972313600.0000"
"0.3683","0.0000","120963392000.0000"
"0.3755","0.0000","121955136000.0000"
"0.3818","0.0000","122947609600.0000"
"0.3867","0.0000","123940800000.0000"
"0.3903","0.0000","124934745600.0000"
"0.3924","0.0000","125929472000.0000"
"0.3933","0.0000","126924953600.0000"
"0.3937","0.0000","127921241600.0000"
"0.3944","0.0000","128918297600.0000"
"0.3955","0.0000","129916160000.0000"
"0.3965","0.0000","130914828800.0000"
"0.3966","0.0000","131914291200.0000"
"0.3958","0.0000","132914534400.0000"
"0.3941","0.0000","133915558400.0000"
